"dates","mean","lci","uci"
2020-03-13,4.91137566848594,4.5392397939342,5.29796354326772
2020-03-14,4.39046365295356,4.09676190958638,4.6941886099077
2020-03-15,3.90823986961041,3.67480983889205,4.14875610969676
2020-03-16,3.48325341533562,3.29543317464426,3.67620551388375
2020-03-17,3.1157599358198,2.96239848189938,3.2729372338564
2020-03-18,2.81473294646301,2.68725824446015,2.94512007805353
2020-03-19,2.56760451515577,2.4598278920839,2.67765953203848
2020-03-20,2.36437194358322,2.27177308543322,2.45879461195472
2020-03-21,2.19148203012921,2.11083498926571,2.27361980428708
2020-03-22,2.04032023363514,1.96927761326931,2.11260411480684
2020-03-23,1.9039498659314,1.84078461509307,1.96816577612905
2020-03-24,1.77751361496615,1.72092041761048,1.83500959233217
2020-03-25,1.66139518105178,1.61030151348925,1.71327569311518
2020-03-26,1.55603483260855,1.50953975700477,1.60322530134803
2020-03-27,1.45902400744819,1.41639957119899,1.50227152442523
2020-03-28,1.37171415781296,1.33232208619038,1.41167212249548
2020-03-29,1.29604361464947,1.25930982791621,1.33329812821679
2020-03-30,1.23229480739189,1.19771563330542,1.26735921507459
2020-03-31,1.17880331905692,1.14595821447537,1.21210603081325
2020-04-01,1.13506826423338,1.10359508940981,1.16697777638999
2020-04-02,1.10241139109141,1.07197531008757,1.13326758965883
2020-04-03,1.07933845079754,1.0496636200021,1.1094211599668
2020-04-04,1.06361882163244,1.0344913618651,1.09314503745164
2020-04-05,1.0529576281285,1.02422360684747,1.0820836158375
2020-04-06,1.04657499002797,1.01811770526959,1.07541905302431
2020-04-07,1.04295913991534,1.01470400250645,1.07159688280993
2020-04-08,1.04070711640345,1.01261277979455,1.06918051624316
2020-04-09,1.0386026166186,1.01065302585248,1.06692811883804
2020-04-10,1.03643551801372,1.0086233047952,1.0646207203476
2020-04-11,1.03417567694666,1.00649712982143,1.06222443064985
2020-04-12,1.03121865707105,1.00367863505203,1.05912622962215
2020-04-13,1.02555244291869,0.998181642772357,1.05328829322285
2020-04-14,1.01694488208118,0.989775902147202,1.04447659804149
2020-04-15,1.00654990855539,0.979598083502679,1.0338623916905
2020-04-16,0.995345663593914,0.968608311500888,1.02244196763978
2020-04-17,0.984483079194611,0.957934406186513,1.01138957977045
2020-04-18,0.975552067119627,0.949138313148479,1.00232328320438
2020-04-19,0.9717106435047,0.945332394153569,0.99844681671465
2020-04-20,0.973194240505279,0.946750169672703,0.999997480067413
2020-04-21,0.979781483021831,0.9531790029643,1.00674500019002
2020-04-22,0.989330484016349,0.962517901182634,1.01650628022851
2020-04-23,1.00070497579651,0.973662093809896,1.02811312334924
2020-04-24,1.01162780991301,0.984380852830742,1.03924154591152
2020-04-25,1.01901648866605,0.991643281907214,1.04675718379797
2020-04-26,1.02182992414903,0.994425153984631,1.04960200852401
2020-04-27,1.01971894697584,0.992378520604786,1.04742572017469
2020-04-28,1.01303679195094,0.985842206276544,1.04059622333256
2020-04-29,1.00151853039719,0.974541290020841,1.02885895394994
2020-04-30,0.986087922224521,0.959373501042155,1.01316408590858
2020-05-01,0.969008230626076,0.942559930991686,0.995817388115358
2020-05-02,0.95140081171256,0.925196673962328,0.977965776302276
2020-05-03,0.933630146403514,0.907634832504808,0.959987372977873
2020-05-04,0.917841492619365,0.89198452525473,0.944062750633976
2020-05-05,0.905314417382835,0.879505168256257,0.931491698709163
2020-05-06,0.896620833447134,0.870760136961749,0.922854676453013
2020-05-07,0.891217724256674,0.865216268019651,0.917598750940914
2020-05-08,0.888527941129517,0.86231073136069,0.915132279664846
2020-05-09,0.889071117811156,0.862564137884003,0.915973651243558
2020-05-10,0.890957970922185,0.864124394933359,0.918196111447853
2020-05-11,0.892346307387099,0.865185097477871,0.919921443694605
2020-05-12,0.892497500882041,0.865026241885307,0.920392191904931
2020-05-13,0.890591212966554,0.862845645453018,0.918769717419018
2020-05-14,0.885861028911449,0.85788998690183,0.914274516768534
2020-05-15,0.87634660022569,0.848227387872168,0.904917930270907
2020-05-16,0.86320987192602,0.834996769058444,0.891885183268618
2020-05-17,0.847011222984245,0.818742955121534,0.875752548326781
2020-05-18,0.828173478103788,0.799872466542971,0.856959625532327
2020-05-19,0.806799147095453,0.778476061315942,0.83562123489143
2020-05-20,0.78431091436279,0.755943295023408,0.813193737392211
2020-05-21,0.762008705726089,0.733543160247987,0.791008523882523
2020-05-22,0.73944765258634,0.710831769292961,0.768620321492136
2020-05-23,0.718381075499881,0.68952144069449,0.747824067521653
2020-05-24,0.698765264691098,0.669562497085451,0.728582619796705
2020-05-25,0.681839967133556,0.652161839733027,0.712169187515375
2020-05-26,0.667684566549369,0.637388904307432,0.698673739709316
2020-05-27,0.656417283039687,0.62535173077298,0.688225302104915
2020-05-28,0.649068074481905,0.617048534321871,0.681886136449048
2020-05-29,0.644342093223673,0.611210716147985,0.678335607497765
2020-05-30,0.642105844274258,0.607706452485564,0.677438902341695
2020-05-31,0.642301358682328,0.606480146789725,0.679135856569002
2020-06-01,0.643876270635269,0.606512148997507,0.682341439868084
2020-06-02,0.647538066269633,0.608492335816324,0.687780791977721
2020-06-03,0.6537477632005,0.612867523557539,0.695929166706939
2020-06-04,0.663212390145667,0.620319554846558,0.707518795358801
2020-06-05,0.675203380316422,0.630142009663052,0.721798812046631
2020-06-06,0.689396441296777,0.642027880908526,0.738426990728535
2020-06-07,0.70800638741171,0.658127730805755,0.759681038952734
2020-06-08,0.728798857975277,0.676303670629078,0.783228258789632
2020-06-09,0.748817734643824,0.693732261744816,0.805977745106145
2020-06-10,0.767710709246329,0.710108489708569,0.827527245431365
2020-06-11,0.786445960825288,0.726397759282171,0.848844838695537
2020-06-12,0.804129418314383,0.741758580126135,0.868982109746743
2020-06-13,0.817323425767623,0.752891995211933,0.884362400589569
2020-06-14,0.830527161778301,0.764116804039355,0.89966528697601
2020-06-15,0.842918248534601,0.774641912984054,0.914036971296973
2020-06-16,0.850485947652477,0.780615479738536,0.923308399511929
2020-06-17,0.856612367584934,0.785272443492866,0.931009567772722
2020-06-18,0.861632841094639,0.788930437492292,0.937493751489123
2020-06-19,0.866086288319576,0.792092006347781,0.943337331375314
2020-06-20,0.867110377381813,0.792000928078226,0.945573644280539
2020-06-21,0.868493225650355,0.792268520569075,0.948168692219201
2020-06-22,0.876096750002352,0.798485500356598,0.957255947853134
2020-06-23,0.886891450462844,0.80774319554449,0.969685934481206
2020-06-24,0.903239727198658,0.822288561834564,0.9879368531516
2020-06-25,0.926929837191095,0.843855490180154,1.01384839358985
2020-06-26,0.959319757254596,0.873798428051149,1.04877654496339
2020-06-27,0.997444031367087,0.909358433951423,1.08954325824896
2020-06-28,1.03992956849101,0.949306188059949,1.1346250853173
2020-06-29,1.08485380080564,0.991898026704132,1.18191341084989
2020-06-30,1.13229327252994,1.03729110088024,1.23139847763514
2020-07-01,1.1739911776173,1.07762995579867,1.2744197972638
2020-07-02,1.2108716497983,1.11380075709626,1.31194030023625
2020-07-03,1.24416171009156,1.14695962199602,1.34526090653238
2020-07-04,1.2696916062553,1.17304422955547,1.37011027141897
2020-07-05,1.29219991342483,1.19652170530063,1.39150580374521
2020-07-06,1.30845883087881,1.21421089029806,1.40617938762178
2020-07-07,1.31932612779311,1.22686531694074,1.41509819098749
2020-07-08,1.32058736182799,1.2303557244473,1.41396660390029
2020-07-09,1.31069403093172,1.22311831946255,1.4012547977414
2020-07-10,1.29501825060726,1.21027331905896,1.38259017950231
2020-07-11,1.26882734587319,1.18717230508311,1.35315965221938
2020-07-12,1.23710185136802,1.15855668364281,1.31818662246076
2020-07-13,1.20383841045192,1.12824657083925,1.28184657785105
2020-07-14,1.17097069831731,1.09808569328611,1.24616447163665
2020-07-15,1.13756121525566,1.06715123885671,1.21018869867008
2020-07-16,1.10104864786792,1.03296755009759,1.17127166848611
2020-07-17,1.06732365960998,1.00126107530651,1.1354668332226
2020-07-18,1.03296632901429,0.968736914697119,1.09922818159858
2020-07-19,0.998260979632876,0.935675623093832,1.06284368268563
2020-07-20,0.966345775128087,0.905121650661145,1.02954511504144
2020-07-21,0.938895806819865,0.878703762395726,1.00105362343484
2020-07-22,0.918595997966695,0.85902136318442,0.98013960395418
2020-07-23,0.901767513513122,0.842521164697687,0.962998410475858
2020-07-24,0.889537839863028,0.830311794217804,0.950775264503015
2020-07-25,0.882784944225325,0.82327070587444,0.944346614802308
2020-07-26,0.877173220461492,0.817238695691263,0.93919847744974
2020-07-27,0.872911699736268,0.812440333178855,0.935522873758273
2020-07-28,0.868091300993083,0.807055007946021,0.931320864153622
2020-07-29,0.863287560082058,0.801653561578536,0.927171718655331
2020-07-30,0.859537574452426,0.797238612875134,0.924146858114639
2020-07-31,0.855748025160838,0.792751203292044,0.921119098449576
2020-08-01,0.850705042099447,0.787018137178866,0.916834487959705
2020-08-02,0.845509045399108,0.781100406269648,0.912432993055142
2020-08-03,0.837241512238648,0.772198462245305,0.904877060050089
2020-08-04,0.828458784344094,0.762769093702667,0.896823076400498
2020-08-05,0.816378510446157,0.750136347636552,0.88538340230628
2020-08-06,0.80397646989419,0.737143220459176,0.873668364421726
2020-08-07,0.794604207631724,0.726979011305346,0.865193831271098
2020-08-08,0.790429184590075,0.721686940175881,0.862253833076202
2020-08-09,0.795463055039579,0.725068415588472,0.86907222650193
2020-08-10,0.808572268820546,0.736027898491288,0.884477347840215
2020-08-11,0.83145592440378,0.756210661049736,0.910218752799937
2020-08-12,0.86163416866824,0.78331550005356,0.943630932267962
2020-08-13,0.899917336644286,0.818208729618933,0.985458822428121
2020-08-14,0.945111291541278,0.859858809633194,1.03433555901452
2020-08-15,0.995896491606674,0.907114423826694,1.08876406819506
2020-08-16,1.05073569208468,0.958610541465184,1.14702696506302
2020-08-17,1.11217862480822,1.01688152124327,1.21168292994434
2020-08-18,1.17807735989193,1.07996536360332,1.28039395079953
2020-08-19,1.24368410162438,1.14338178362229,1.34814322318633
2020-08-20,1.30385763791743,1.2022383576495,1.40954085339935
2020-08-21,1.35773710830621,1.25571207709319,1.46369023797135
2020-08-22,1.39919200395014,1.29784962078783,1.50428989938839
2020-08-23,1.43204134536478,1.33219945739421,1.53543968286458
2020-08-24,1.45165877813081,1.35414440166565,1.55251541635702
2020-08-25,1.45872312351977,1.36417166680737,1.55639775685644
2020-08-26,1.45442153631809,1.36328481985817,1.54846522675148
2020-08-27,1.44183990878691,1.35435065832546,1.5320286933359
2020-08-28,1.42415835381263,1.34035103446589,1.51047114022164
2020-08-29,1.39931554420784,1.31920991914411,1.48174890047039
2020-08-30,1.37382836858717,1.29720982118726,1.45261424916384
2020-08-31,1.3491293525236,1.27573268568828,1.42454988753076
2020-09-01,1.32833255097787,1.25780791578583,1.40075373454067
2020-09-02,1.30796029328583,1.24006435771019,1.37764031930682
2020-09-03,1.29186925305583,1.22628308473617,1.35913993381234
2020-09-04,1.2775689005494,1.21407439837355,1.3426589769876
